a,b,c
-2.9999765264129286,40.000411096095824,7244.454691516176
-2.9762223486810453,40.41297417338476,7237.109652172918
-2.9518882588706528,40.82854287039639,7229.46081805666
-2.926943517713095,41.247234718301506,7221.484967545348
-2.90135473735126,41.66917546471264,7213.156305160359
-2.8750855612895845,42.09449992432453,7204.446083009718
-2.8480962938940793,42.5233529479566,7195.322152012734
-2.820343469514195,42.955890530969334,7185.74842700972
-2.7917793489293854,43.39228108659893,7175.684245567425
-2.7623513277836915,43.832706915503834,7165.083594637838
-2.732001237737848,44.277365910134485,7153.8941717152875
-2.700664515934314,44.72647354190497,7142.056237055141
-2.668269211605425,45.18026519124955,7129.501199845978
-2.6347347896495847,45.63899889643174,7116.149862477769
-2.5999706788847115,46.10295861776602,7101.910221023543
-2.5638744961924633,46.57245814159819,7086.674683452117
-2.5263298550242124,47.047845785681034,7070.316514885718
-2.487203634948133,47.52951011846264,7052.6852436033105
-2.4463425438053967,48.01788697517153,7033.600650120642
-2.40356873897276,48.513468152390786,7012.844794605432
-2.3586741786613086,49.01681230385099,6990.151282142451
-2.3114132310058007,49.5285587651939,6965.190565060968
-2.2614928494135262,50.049445339550275,6937.549439248091
-2.2085592784181847,50.580331537041346,6906.701831874389
-2.152179698789192,51.12222947880408,6871.966174919984
-2.0918162957283384,51.67634582430078,6832.441480107494
-2.0267886380175653,52.24413997822321,6786.908395322739
-1.9562173865798183,52.82740708754384,6733.670297275972
-1.8789369391622048,53.4284001645205,6670.2866684989785
-1.7933538187202642,54.050016635495204,6593.101565503095
-1.6972045576937176,54.69609651628758,6496.354080454192
-1.587113387367928,55.3719264032889,6370.358491479902
-1.4577128174056748,56.08515342832481,6197.369315042304
-1.2996890027294514,56.84759932660512,5940.763941708866
-1.0947290280522695,57.6793051430601,5510.53514377894
-0.7995727356775164,58.61880156116178,4616.44481416143
-0.2934821279312715,59.74415885338702,1959.5456537232005
-0.02645908341892764,60.21250181271191,2.7224438681449237
-0.02647420660308506,60.21248891859712,2.837733054618161
-0.026489342909624257,60.21247601702938,2.9531221359158413
-0.026504492349835904,60.2124631080022,3.068611197748758
-0.02651965493502013,60.212450191509305,3.1842003258955613
-0.02653483067648665,60.21243726754411,3.2998896062112792
-0.026550019585554634,60.21242433610022,3.4156791246194707
-0.02656522167355277,60.212411397171145,3.5315689671163173
-0.026580436951819143,60.21239845075054,3.6475592197668694
-0.02659566543170145,60.21238549683197,3.763649968709817
-0.02661090712455695,60.21237253540899,3.879841300155329
-0.026626162041752322,60.21235956647488,3.996133300388458
-0.02664143019466384,60.212346590023415,4.112526055759706
-0.026656711594677376,60.21233360604805,4.229019652695822
-0.026672006253188264,60.21232061454234,4.345614177693542
-0.026687314181601442,60.212307615499846,4.46230971732164
-0.026702635391331463,60.21229460891384,4.579106358224668
-0.02671796989380237,60.21228159477797,4.696004187113983
-0.026733317700447817,60.21226857308582,4.813003290773648
-0.026748678822711005,60.21225554383081,4.930103756062025
-0.026764053272044848,60.21224250700631,5.047305669910635
-0.026779441059911806,60.21222946260604,5.164609119318582
-0.02679484219778388,60.212216410623384,5.282014191360627
-0.026810256697142806,60.212203351051805,5.399520973184114
-0.026825684569479896,60.212190283884674,5.5171295520091945
-0.026841125826296067,60.21217720911553,5.634840015126091
-0.02685658047910198,60.212164126737804,5.752652449899658
-0.025349238404471522,60.21475033794828,5.755455058901616
-0.025364059347007768,60.21473761514234,5.642462363014309
-0.02537889315231311,60.21472488503086,5.529371735583869
-0.025393739831461,60.21471214760761,5.4161830925229495
-0.02540859939553422,60.214699402866174,5.302896349672066
-0.02542347185562486,60.21468665080026,5.189511422802893
-0.02543835722283432,60.214673891403706,5.076028227618726
-0.025453255508273435,60.2146611246701,4.962446679749136
-0.025468166723062267,60.21464835059311,4.848766694754753
-0.025483090878330207,60.21463556916631,4.734988188125323
-0.025498027985216026,60.21462278038354,4.62111107528291
-0.02551297805486799,60.21460998423847,4.5071352715763116
-0.025527941098443512,60.21459718072462,4.39306069228369
-0.025542917127109616,60.21458436983575,4.278887252613588
-0.025557906152042467,60.21457155156557,4.164614867705502
-0.025572908184427895,60.214558725907445,4.050243452621702
-0.025587923235460875,60.2145458928552,3.9357729223614406
-0.025602951316345893,60.21453305240241,3.821203191849474
-0.025617992438296877,60.21452020454268,3.7065341759394785
-0.02563304661253718,60.21450734926987,3.591765789418366
-0.025648113850299567,60.21449448657725,3.476897946993448
-0.025663194162826145,60.21448161645857,3.3619305633091408
-0.02567828756136856,60.21446873890747,3.2468635529360617
-0.025693394057187947,60.214455853917386,3.131696830370801
-0.02570851366155486,60.21444296148204,3.0164303100433134
-0.025723646385749234,60.21443006159502,2.901063906310438
-0.025738792241060626,60.21441715425004,2.7855975334592045
-0.025753951238787934,60.21440423944052,2.670031105701938
-0.025769123390239703,60.214391317160086,2.5543645371816157
-0.02578430870673381,60.21437838740221,2.438597741968446
-0.025799507199597633,60.21436545016052,2.3227306340635185
-0.02581471888016817,60.2143525054286,2.2067631273951633
-0.025829943759791994,60.21433955320001,2.0906951358192982
-0.025845181849824924,60.21432659346818,1.974526573120451
-0.025860433161632577,60.21431362622662,1.8582573530107407
-0.025875697706590074,60.21430065146899,1.74188738913272
